CountryA3,studyyear,Type,Exp.Inc,Q1FS,Q2FS,Q3FS,Q4FS,Q5FS,Study,Region,Country,pcGDP2014db,pcGDP,distyear,q1,q2,q3,q4,q5,e1,e2,e3,e4,e5,i1,i2,i3,i4,i5,costS1,costS2,costS3,costS4,costS5,ei1,ei2,ei3,ei4,ei5,Revision
ZAF,2006,Direct,Inc,0.024,0.05,0.089,0.097,0.0945,Mabugu et al 2009,Africa,South Africa,8877.085957,9700.127152,2008,1.688333333,3.82,6.68,14.33833333,73.47,1.826947252,4.024163249,6.934110344,14.62318549,72.58826033,1.561475546,3.650119838,6.458340437,14.04736906,74.28102845,0.408365659,1.988748717,6.263451599,14.84805309,76.49138093,1.561475546,3.650119838,6.458340437,14.04736906,74.28102845,1
USA,2008,CGE,Exp,3.09,2.81,2.43,2.2,1.77,Parry & Williams 2010,USA,USA,44872.65363,45062.50279,2008,3.565,9.015,14.9,23.065,49.455,3.565,9.015,14.9,23.065,49.455,3.565,9.015,14.9,23.065,49.455,5.224908678,12.01524806,17.17327927,24.06782418,41.5187398,3.565,9.015,14.9,23.065,49.455,1
USA,2006,CGE,Inc,0.635,0.64,0.64,0.65,0.655,Rausch et al 2011,USA,USA,45058.64975,45141.3433,2006,3.615,9.02,14.72,22.705,49.895,3.615,9.02,14.72,22.705,49.895,3.615,9.02,14.72,22.705,49.895,3.53546049,8.890997188,14.50947656,22.729968,50.33409776,3.615,9.02,14.72,22.705,49.895,1
NGA,2010,Direct,Exp,9.6,8.2,7.7,7.4,6.4,Soile & Mu 2015,Africa,Nigeria,2132.807737,4012.410016,2010,4.89,8.99,13.67,20.955,51.5,5.358672656,9.47766193,14.16499518,21.24240972,49.76126052,4.423675858,8.486328019,13.17424314,20.67884598,53.236907,7.205983121,10.88628864,15.27819101,22.01913632,44.61040091,5.358672656,9.47766193,14.16499518,21.24240972,49.76126052,1
USA,2012,Direct,Exp,6.125,6.5625,5.875,5.375,3.325,Teixido & Verde 2017,USA,USA,45335.89736,45321.7836,2012,3.305,8.66,14.615,22.93,50.44,3.305,8.66,14.615,22.93,50.44,3.305,8.66,14.615,22.93,50.44,4.459827814,12.52067502,18.91678054,27.15332753,36.9493891,3.305,8.66,14.615,22.93,50.44,1
USA,1997,CGE,Exp,3.95,3.41,3.13,2.59,1.74,West & Williams 2014,USA,USA,37189.65998,37108.8018,1997,4.7675,10.06625,15.43875,22.5625,47.17375,5.178039108,10.48173552,15.80384615,22.68256147,45.86506774,4.7675,10.06625,15.43875,22.5625,47.17375,8.375099477,14.63575492,20.2551136,24.05577832,32.67825368,5.178039108,10.48173552,15.80384615,22.68256147,45.86506774,1
ZAF,2000,Direct,Exp,2.675,3.045,4.055,4.79,4.59,Ziramba et al 2009,Africa,South Africa,7640.996917,8207.191202,2001,3.07,5.6,9.88,18.81,62.65,3.07,5.6,9.88,18.81,62.65,2.482816744,4.912214678,9.002050847,17.93848179,65.66443594,1.853818491,3.8492877,9.043839599,20.33898879,64.91406542,3.07,5.6,9.88,18.81,62.65,1
BRA,2009,IO,Exp,2.94,2.43,2.16,1.79,1.315, Silva Freitas et al 2016,LatAm,Brazil,9456.43329,11354.44605,2009,3.65125,7.725,12.275,19.645,56.7025,4.244235018,8.436942998,13.02238969,20.13556894,54.16086336,3.65125,7.725,12.275,19.645,56.7025,7.410984134,12.17644517,16.70604194,21.40651971,42.30000905,4.244235018,8.436942998,13.02238969,20.13556894,54.16086336,1
DNK,1996,IO,Exp,0.465,0.405,0.3925,0.39,0.38,Wier et al 2005,EU,Denmark,28686.84164,35889.97914,1997,6,11.3,16.35,24.8,41.7,6.593982591,11.85863684,16.78726258,24.86768759,39.9924304,6,11.3,16.35,24.8,41.7,7.791439335,12.20412753,16.74312382,24.64432651,38.6169828,6.593982591,11.85863684,16.78726258,24.86768759,39.9924304,1
TWN,1996,CGE,Inc,0.003034,0.00232,0.002208,0.002291,0.002548,Yang 2000,Other non-OECD Asia,Taiwan,NA,22361.23352,1996,7.22,13,17.5,23.38,38.89,8.536953215,14.17183328,18.36646288,23.44334679,35.48140382,7.22,13,17.5,23.38,38.89,9.001236765,12.39312267,15.87766114,22.00994754,40.71803189,7.22,13,17.5,23.38,38.89,1
